Data Medicao,TEMPERATURA MAXIMA. DIARIA(Â°C),TEMPERATURA MEDIA COMPENSADA. DIARIA(Â°C),TEMPERATURA MINIMA. DIARIA(Â°C)
9/1/1972,29.5,24.66,21.5
9/2/1972,32.5,25.42,19.6
9/3/1972,32.8,26.2,20.0
9/4/1972,33.0,25.32,20.00
9/5/1972,33.5,24.00,19.00
9/6/1972,32.2,24.64,19.00
9/7/1972,32.00,25.1,19.5
9/8/1972,33.00,25.06,19.3
9/9/1972,33.5,25.5,18.5
9/10/1972,33.00,26.14,19.2
9/11/1972,31.5,24.7,18.5
9/12/1972,32.5,25.28,20.00
9/13/1972,32.8,26.62,21.3
9/14/1972,33.00,26.14,21.2
9/15/1972,31.00,24.98,20.8
9/16/1972,31.2,25.00,21.00
9/17/1972,31.8,24.34,21.00
9/18/1972,31.00,24.2,19.00
9/19/1972,32.8,26.1,20.5
9/20/1972,33.00,25.72,20.3
9/21/1972,34.5,26.00,19.5
9/22/1972,32.5,26.02,20.1
9/23/1972,33.5,26.5,21.00
9/24/1972,32.5,25.96,21.5
9/25/1972,32.5,25.6,20.5
9/26/1972,32.8,25.78,21.8
9/27/1972,33.1,26.00,20.5
9/28/1972,34.00,26.76,20.3
9/29/1972,32.8,25.82,21.3
9/30/1972,32.5,26.3,22.00
10/1/1972,32.2,26.84,23.5
10/2/1972,33.1,26.36,21.5
10/3/1972,33.5,26.88,20.5
10/4/1972,34.2,26.42,20.3
10/5/1972,34.5,25.84,20.1
10/6/1972,31.8,24.86,21.5
10/7/1972,32.5,25.4,20.5
10/8/1972,31.00,25.32,21.2
10/9/1972,32.5,25.08,20.1
10/10/1972,32.5,26.18,20.9
10/11/1972,32.8,25.96,20.5
10/12/1972,34.8,26.28,20.2
10/13/1972,34.00,26.74,20.9
10/14/1972,32.5,25.00,21.00
10/15/1972,32.00,25.1,19.00
10/16/1972,33.00,25.00,19.00
10/17/1972,33.5,25.2,20.00
10/18/1972,33.5,24.98,19.3
10/19/1972,28.8,23.44,20.00
10/20/1972,32.5,24.12,20.1
10/21/1972,34.00,24.92,19.00
10/22/1972,32.3,24.82,20.5
10/23/1972,31.5,25.1,21.00
10/24/1972,34.00,26.00,20.00
10/25/1972,34.00,25.9,19.5
10/26/1972,33.5,26.66,21.00
10/27/1972,33.6,25.58,21.8
10/28/1972,34.5,26.22,21.00
10/29/1972,33.5,25.2,21.00
10/30/1972,32.8,25.76,21.5
10/31/1972,32.00,26.3,21.00
11/1/1972,33.5,25.54,20.1
11/2/1972,34.00,26.12,21.6
11/3/1972,33.00,25.36,21.00
11/4/1972,33.00,25.54,20.2
11/5/1972,33.8,26.86,21.00
11/6/1972,34.00,26.1,20.5
11/7/1972,34.00,26.7,21.5
11/8/1972,32.00,25.84,22.1
11/9/1972,33.00,26.26,20.2
11/10/1972,34.2,27.2,21.3
11/11/1972,34.00,26.68,21.3
11/12/1972,33.00,26.02,22.8
11/13/1972,32.00,26.28,22.00
11/14/1972,34.00,26.26,20.5
11/15/1972,33.5,26.1,21.2
11/16/1972,32.00,25.18,19.5
11/17/1972,34.2,25.9,20.5
11/18/1972,33.00,26.00,20.6
11/19/1972,32.00,25.56,21.3
11/20/1972,34.00,26.56,21.00
11/21/1972,34.00,26.34,21.3
11/22/1972,33.2,26.72,22.00
11/23/1972,34.5,26.6,20.5
11/24/1972,34.3,26.32,21.5
11/25/1972,34.00,26.72,21.00
11/26/1972,33.5,26.62,22.5
11/27/1972,34.00,26.68,21.6
11/28/1972,33.8,25.36,21.00
11/29/1972,34.00,25.38,21.00
11/30/1972,31.00,25.6,20.00
12/1/1972,32.00,26.3,22.00
12/2/1972,32.00,26.18,21.5
12/3/1972,33.8,25.56,22.00
12/4/1972,34.6,27.18,21.5
12/5/1972,34.8,26.32,21.00
12/6/1972,33.5,26.00,20.5
12/7/1972,33.4,27.00,21.6
12/8/1972,32.00,25.28,22.00
12/9/1972,31.2,24.62,21.4
12/10/1972,33.00,25.8,21.00
12/11/1972,32.00,25.92,20.00
12/12/1972,34.8,26.86,21.5
12/13/1972,34.2,26.84,21.3
12/14/1972,32.00,26.1,21.00
12/15/1972,30.00,25.56,23.00
12/16/1972,31.8,25.3,21.6
12/17/1972,31.5,26.78,21.8
12/18/1972,29.5,25.74,23.00
12/19/1972,30.00,25.36,22.00
12/20/1972,30.2,24.8,22.00
12/21/1972,30.7,25.6,21.6
12/22/1972,28.5,24.86,22.00
12/23/1972,30.5,25.1,22.00
12/24/1972,31.5,25.82,22.3
12/25/1972,31.00,25.1,21.5
12/26/1972,29.00,24.2,21.7
12/27/1972,29.8,23.62,19.8
12/28/1972,31.7,25.02,19.3
12/29/1972,32.00,25.08,21.00
12/30/1972,31.00,25.3,20.9
12/31/1972,32.3,25.84,21.7
1/1/1973,30.2,24.98,21.5
