Data,Maxima,Minima,Media
01/12/2019,2262,191,1741
01/11/2019,,,
01/06/2019,3545,864,1718
01/05/2019,6282,136,3834
01/04/2019,6797,567,6225
01/03/2019,6154,251,4557
01/02/2019,4625,509,3940
01/01/2019,4287,723,3415
01/12/2018,4100,286,2638
01/11/2018,2243,908,1018
01/10/2018,1007,897,611
01/09/2018,754,214,611
01/08/2018,964,863,754
01/07/2018,1509,615,975
01/06/2018,2953,423,1555
01/05/2018,5618,778,3068
01/04/2018,7380,639,5758
01/03/2018,6977,951,5688
01/02/2018,7241,536,4040
01/01/2018,4106,958,3176
01/12/2017,3545,864,1630
01/11/2017,1800,389,657
01/10/2017,662,127,503
01/09/2017,662,127,512
01/08/2017,900,856,662
01/07/2017,1395,555,900
01/06/2017,2713,687,1429
01/05/2017,4912,171,2763
01/04/2017,6768,772,5022
01/03/2017,9051,955,6417
01/02/2017,11444,593,5702
01/01/2017,5702,833,4557
01/12/2016,5001,422,3068
01/11/2016,3080,806,1966
01/10/2016,1918,789,1712
01/09/2016,1724,51,1619
01/08/2016,1906,898,1659
01/07/2016,2329,419,1912
01/06/2016,2877,387,2347
01/05/2016,5097,808,2928
01/04/2016,6977,951,5042
01/03/2016,7653,248,4874
01/02/2016,6467,679,4859
01/01/2016,5809,605,2512
01/12/2015,2685,335,2468
01/11/2015,2468,59,2069
01/10/2015,2106,176,2014
01/09/2015,2242,51,2081
01/08/2015,2723,896,2267
01/07/2015,3593,933,2723
01/06/2015,5916,302,3647
01/05/2015,8714,724,6031
01/04/2015,9802,999,7805
01/03/2015,8921,71,5493
01/02/2015,6015,354,4430
01/01/2015,4867,6,3837
01/12/2014,4139,549,2254
01/11/2014,2205,188,1174
01/10/2014,1152,115,1074
01/09/2014,1185,644,1107
01/08/2014,1576,9,1185
01/07/2014,2418,4,1587
01/06/2014,4472,882,2455
01/05/2014,7227,386,4556
01/04/2014,9415,32,7262
01/03/2014,10567,96,9262
01/02/2014,9782,84,6416
01/01/2014,6366,237,5654
01/12/2013,5573,891,2723
01/11/2013,2621,272,1355
01/10/2013,1355,614,932
01/09/2013,1052,513,976
01/08/2013,1447,77,1041
01/07/2013,2355,98,1447
01/06/2013,4001,95,2405
01/05/2013,7528,216,4084
01/04/2013,8883,436,7707
01/03/2013,8380,49,7244
01/02/2013,7617,456,5866
01/01/2013,5654,81,2557
01/12/2012,2853,85,2217
01/11/2012,2118,511,1174
01/10/2012,1219,332,805
01/09/2012,943,664,784
01/08/2012,1355,614,932
01/07/2012,2081,542,1390
01/06/2012,3153,903,2130
01/05/2012,5254,54,3219
01/04/2012,8621,452,5477
01/03/2012,8883,436,8214
01/02/2012,10182,352,8325
01/01/2012,10055,299,4250
01/12/2011,4250,181,3048
01/11/2011,2996,327,1517
01/10/2011,1367,78,721
01/09/2011,943,664,805
01/08/2011,1482,585,954
01/07/2011,3180,295,1529
01/06/2011,5194,899,3246
01/05/2011,9185,969,5349
01/04/2011,10182,352,9185
01/03/2011,11441,145,9110
01/02/2011,9128,991,7421
01/01/2011,7350,771,4796
01/12/2010,4613,21,1459
01/11/2010,1424,636,932
01/10/2010,943,664,660
01/09/2010,805,259,701
01/08/2010,1019,651,805
01/07/2010,1355,614,1030
01/06/2010,2405,429,1355
01/05/2010,5301,635,2455
01/04/2010,8068,777,5590
01/03/2010,7386,149,6792
01/02/2010,7851,83,6433
01/01/2010,6081,686,4153
01/12/2009,4180,979,2317
01/11/2009,2418,4,1424
01/10/2009,1447,77,1085
01/09/2009,1063,505,868
01/08/2009,1332,734,911
01/07/2009,2317,467,1332
01/06/2009,4938,25,2317
01/05/2009,7995,996,5180
01/04/2009,7227,386,5965
01/03/2009,7122,173,6031
01/02/2009,7069,756,4824
01/01/2009,5094,746,3865
01/12/2008,3919,766,1886
01/11/2008,1825,895,868
01/10/2008,932,889,784
01/09/2008,868,683,763
01/08/2008,1241,877,890
01/07/2008,1765,867,1241
01/06/2008,3769,842,1789
01/05/2008,6265,322,3769
01/04/2008,10161,135,6433
01/03/2008,9865,849,7350
01/02/2008,7244,971,3851
01/01/2008,3674,948,2279
01/12/2007,2292,436,1264
01/11/2007,1264,491,794
01/10/2007,794,767,691
01/09/2007,,,
01/08/2007,1041,54,847
01/07/2007,1447,77,1063
01/06/2007,2493,931,1459
01/05/2007,4458,908,2557
01/04/2007,8123,504,4486
01/03/2007,10055,299,8362
01/02/2007,10161,135,4264
01/01/2007,4111,967,3180
01/12/2006,3127,547,1995
01/11/2006,2167,969,1611
01/10/2006,1540,914,890
01/09/2006,997,841,847
01/08/2006,1355,614,997
01/07/2006,2167,969,1355
01/06/2006,4810,411,2205
01/05/2006,9415,32,4994
01/04/2006,9530,254,8178
01/03/2006,8050,562,7209
01/02/2006,7192,259,6248
01/01/2006,7653,248,5137
01/12/2005,5066,19,1401
01/11/2005,1344,166,805
01/10/2005,858,57,610
01/09/2005,701,401,610
01/08/2005,1074,516,711
01/07/2005,1730,12,1096
01/06/2005,3379,39,1765
01/05/2005,6484,637,3472
01/04/2005,10374,53,5899
01/03/2005,10502,6,7635
01/02/2005,7421,583,4810
01/01/2005,4753,874,2840
01/12/2004,2685,335,1623
01/11/2004,1670,529,890
01/10/2004,868,683,580
01/09/2004,691,149,590
01/08/2004,1074,516,701
01/07/2004,1934,773,1096
01/06/2004,4167,161,1995
01/05/2004,9357,593,4277
01/04/2004,13881,245,9665
01/03/2004,,,9144
01/02/2004,,,8312
01/01/2004,,,4522
